starbucks	20  congress ave ste&nbsp;g270		starbucks	264	starbucks coffee
backspace	20  san jacinto blvd			14	backspace
chez moi bistro	1403 lavaca st	5124734141		96	chez moi bistro
subway	500 w martin luther king jr blvd	5122361155	subway	160	subway
haddingtons	601 w 6th st	5129920204		57	haddingtons
old pecan street cafe	20 b trinity st		oldpecanstcafe	17	old pecan street cafe
chugging monkey	219 e 6th st	5124765015	thechugginmonkey	67	the chugging monkey
valentine  friends inc	311 e 6th st	5129266246		241	valentine & friends inc
william b travis cafeteria	1701 congress ave	5124637326		147	william b travis cafeteria
extreme pita	515 congress ave ste&nbsp;130	5123201560	extremepita	150	extreme pita
vince young steak house	301 san jacinto blvd	5124578325	vinceyoungsteakhouse	5	vince young steakhouse
barchi sushi	206 colorado st	5123825557	barchiaustin	214	barchi sushi
thistle cafe	221 w 6th st	5124745222	thistlecafe	238	thistle cafe
mai thai	207 san jacinto blvd	5124828244		182	mai thai restaurant
boiling pot	700 e 6th st	5124720985	theboilingpotonline	15	the boiling pot
fleming's prime steakhouse	320 e 2nd st	5124571533	flemingssteakhouse.com/locations/tx	38	fleming's prime steakhouse & wine bar
roppolo's pizzeria	316 e 6th st	5124761490	roppolos	58	roppolo's pizzeria
jo's hot coffee  good food	242 w 2nd st	5124699003	joscoffee	46	jo's coffee downtown
hoboken pie	718 red river st	5124774256		142	hoboken pie
russian bistro llc	307 e 5th st	5124285442		245	russian house
murphy's deli	600 congress ave ste&nbsp;g230	5122368881	murphysdeli	148	murphy's deli
chupacabra	400 e 6th st	5127034628	chupacabracantina	152	chupacabra
brian's brew coffee	515 congress ave # 135	5127387713	briansbrew	217	brian's brew coffee
katz's deli	618 w 6th st	5124722037	katzneverkloses	277	katz's deli
bobalu cigar co	509 e 6th st	5124695877	bobalu	274	bobalu cigar company
cantina laredo	201 w 3rd st	5125429670	cantinalaredo	273	cantina laredo
pizza hut	1811 guadalupe st	8009488488	pizzahut	276	pizza hut
caffe medici austonian	200 congress ave	5128272770	theaustonian	275	caffe medici austonian
