274	bobalu cigar company	509 e 6th st	5125695877	bobalu	
273	cantina laredo	201 w 3rd st	5125429670	cantinalaredo	
272	mama fu's	100 colorado st	5126376774	mamafus	
277	katz's deli	618 w 6th st	5124722037	katzneverkloses	
276	pizza hut	1811 guadalupe st	5123208030	pizzahut	
258	arturo's bakery & cafe	314 w 17th st	5124690380		
259	sweetish hill bakery	98 san jacinto blvd	5124722411	sweetishhill	
257	starbucks coffee	111 e cesar chavez st	5124731589	starbucks	
262	javelina bar	69 rainey st	5123826917	javelinabar	
263	cedar door	201 brazos st	5124733712	cedardooraustin	
261	banger's sausage house & beer garden	79 rainey st	5123861656	bangersaustin	
266	logan's on sixth	200 e 6th st	5122360300		
267	walton's fancy & staple	609 w 6th st	5125423380	waltons-florist	
264	starbucks coffee	600 congress ave	5124990250	starbucks	
265	bakerman's bakery	120 e 7th st	5124760060	bakermansbakery	
270	paradise	401 e 6th st	5124765667	paradiseonsixth	
271	swifts attic	315 congress ave	5124828842	swiftsattic	
268	jamba juice	600 congress ave	5124788696	jambajuice	
269	bar louie	123 w 6th st	5127303050	bucadibeppo	
