tenoak bourbon house + lounge	409 colorado st	5124772789	tenoakaustin	191	tenoak bourbon house + lounge
texadelphia	501 w 15th st	5123919189	texadelphia	13	texadelphia
texas chili parlor	1409 lavaca st	5124722828	txchiliparlor	10	texas chili parlor
thai passion	620 congress ave	8663190532	thaipassion	212	thai passion
the bonneville	202 w cesar chavez st	5124284643	thebonnevilleaustin	124	bonneville
the dogwood	715 west 6th street	5125319062	thedogwoodaustin	197	the dogwood
the jalopy rotisserie and press	1504 san antonio	5128148557	jalopyaustin	116	the jalopy rotisserie & press
thistle cafe	221 w 6th st	5122759777		238	thistle cafe
thundercloud subs	20  nueces st		thundercloud	114	thundercloud subs
tiff's treats	1806 nueces st	5124732600	cookiedelivery.com/austin	221	tiff's treats
trifecta	20  nueces #30		trifectaaustin.com/home.html	199	trifecta on 3rd
trio at the four seasons	98 san jacinto blvd	5126858300	trioaustin	20	trio
truluck's	400 colorado st	5124829000	trulucks.com/pages/downtown-austin	19	truluck's seafood downtown
vince young steakhouse	301 san jacinto	5124578325	vinceyoungsteakhouse	5	vince young steakhouse
wahoo's fish taco	509 rio grande st	5124763474	wahoos	60	wahoo's fish taco
walton's fancy and staple	609 w 6th street	5125423380	waltonsfancyandstaple	267	walton's fancy & staple
which wich	259 w 3rd st	5124729424	whichwich	166	which wich
wholly cow burgers	619 congress ave	5124250811	whollycowburgers	165	wholly cow burgers
willie g's seafood and steaks	401 congress avenue	5122369600	williegs	94	willie g's
bobalu cigar and coffee	509 e 6th st	5124695877	bobalucigarco	274	bobalu cigar company
caffe medici	200 congress ave #2b	5128272770	caffemedici.com/locations/austonian	275	caffe medici austonian
cantina laredo	201 w 3rd st	5125429670	cantinalaredo	273	cantina laredo
pizza hut	1811 guadalupe st	5123208030	utexas.edu/student/txunion/food	276	pizza hut
