12395	scott spencer	19890101	1.97	79	forwarder	oldham  england	
11502	yossi benayoun	19800505	1.78	85	midfielder	dimona  israel	
9988	benito carbone	19710814	1.68	87	forwarder	bagnara calabra  italy	
12406	steven taylor	19860123	1.91	90	defender	greenwich  london  england	
3316	john o'shea	19810430	1.90	91	defender	waterford  republic of ireland|ireland	
10978	jonathan spector	19860301	1.82	79	defender	arlington heights  illinois  united states	
9004	roman shirokov	19810706	1.83	83	midfielder	dedovsk  moscow oblast  soviet union	
6900	kasey keller	19691127	1.88	73	goalkeeper	olympia  washington|olympia  washington (state)|washington  united states	
12203	nani	19861117	1.75	78	midfielder	praia  cape verde	
8474	christian vieri	19730712	1.85	72	forwarder	bologna  italy	
6390	marlon king	19800426	1.85	67	forwarder	dulwich  london  england	
9806	kevin hofland	19790607	1.85	94	defender	heerlen  netherlands	
7761	andreas granqvist	19850416	1.92	78	defender	påarp  sweden	
9183	dominic matteo	19740428	1.88	82	defender	dumfries  scotland	
7943	diego tristan	19760105	1.86	87	forwarder	coimbra portugal	
12279	armand traore	19891008	1.85	93	defender	chatenay-malabry  france	
8301	luigi di biagio	19710603	1.75	57	defender	rome  italy	
12322	stevan jovetic	19891102	1.84	61	forwarder	podgorica|titograd  socialist federal republic of yugoslavia|sfr yugoslavia	
10520	jose baxter	19920207	1.75	73	midfielder	bootle  liverpool  england	
11239	franz beckenbauer	19450911	1.81	88	goalkeeper	munich  germany	
12227	joleon lescott	19820816	1.88	89	defender	birmingham england	
12388	john welsh	19840110	1.85	86	midfielder	wavertree  liverpool  england	
8402	nuno valente	19740912	1.81	62	defender	lisbon  portugal	
1422	michael owen	19791214	1.73	85	forwarder	chester  england	
1949	traianos dellas	19760131	1.96	70	defender	thessaloniki  greece	
2943	kenny miller	19791223	1.78	90	forwarder	edinburgh  scotland	
12331	hamit altintop	19821208	1.83	90	midfielder	gelsenkirchen  west germany	
11366	stewart downing	19840722	1.80	96	midfielder	middlesbrough  england	
9799	paul stalteri	19771018	1.80	80	defender	etobicoke  ontario  canada	
2070	nabil el zhar	19860827	1.75	89	midfielder	alès  france	
12308	sulley ali muntari	19840827	1.79	67	midfielder	konongo  ghana|konongo  ashanti region|ashanti  ghana	
12400	julio cesar	19790903	1.87	57	goalkeeper	duque de caxias  brazil	
9597	albert streit	19800328	1.80	57	midfielder	bucharest  romania	
11294	henrik larsson	19710920	1.78	92	forwarder	helsingborg  sweden	
9574	phil jagielka	19820817	1.83	103	defender	sale  greater manchester|sale  england	
9473	gary cahill	19851219	1.91	89	defender	dronfield  england	
12281	luis figo	19721104	1.80	80	midfielder	lisbon  portugal	
12126	stefano fiore	19750417	1.77	92	midfielder	cosenza  italy	
12280	fabio rochemback	19811210	1.83	64	midfielder	soledade  rio grande do sul|rs  brazil	
12363	petr cech	19820520	1.96	59	goalkeeper	plze?  czechoslovakia	
12317	stephane chapuisat	19690628	1.80	94	forwarder	lausanne  switzerland	
8530	afonso alves	19810130	1.85	85	forwarder	belo horizonte  brazil	
3262	daniele de rossi	19830724	1.84	82	midfielder	rome  italy	
1136	dennis bergkamp	19690510	1.88	80	forwarder	amsterdam  netherlands	
281	brett emerton	19790222	1.85	183	midfielder	bankstown  new south wales|bankstown  sydney  australia	
8658	sebastian boenisch	19870201	1.91	65	defender	gliwice  poland	
8540	alan smith	19621121	1.78	65	forwarder	hollywood  worcestershire|hollywood  worcestershire  england	
